goos: linux
goarch: amd64
pkg: github.com/exergy-dev/go-topology-suite/buffer
cpu: Intel(R) Core(TM) i9-14900KF
BenchmarkBuffer/ngon/n=16-32  	    7298	    156507 ns/op	   80131 B/op	     542 allocs/op
BenchmarkBuffer/ngon/n=16-32  	    7392	    157125 ns/op	   80129 B/op	     542 allocs/op
BenchmarkBuffer/ngon/n=16-32  	    7941	    156528 ns/op	   80129 B/op	     542 allocs/op
BenchmarkBuffer/ngon/n=16-32  	    6859	    152405 ns/op	   80129 B/op	     542 allocs/op
BenchmarkBuffer/ngon/n=16-32  	    7401	    156819 ns/op	   80129 B/op	     542 allocs/op
BenchmarkBuffer/ngon/n=16-32  	    7333	    156286 ns/op	   80129 B/op	     542 allocs/op
BenchmarkBuffer/ngon/n=16-32  	    7024	    157753 ns/op	   80129 B/op	     542 allocs/op
BenchmarkBuffer/ngon/n=16-32  	    6883	    156279 ns/op	   80129 B/op	     542 allocs/op
BenchmarkBuffer/ngon/n=16-32  	    7172	    156073 ns/op	   80129 B/op	     542 allocs/op
BenchmarkBuffer/ngon/n=16-32  	    7510	    156410 ns/op	   80129 B/op	     542 allocs/op
BenchmarkBuffer/star/n=16-32  	    3458	    360724 ns/op	  178235 B/op	    1060 allocs/op
BenchmarkBuffer/star/n=16-32  	    3260	    370344 ns/op	  178235 B/op	    1060 allocs/op
BenchmarkBuffer/star/n=16-32  	    3109	    366347 ns/op	  178236 B/op	    1060 allocs/op
BenchmarkBuffer/star/n=16-32  	    3400	    363033 ns/op	  178235 B/op	    1060 allocs/op
BenchmarkBuffer/star/n=16-32  	    3211	    364561 ns/op	  178235 B/op	    1060 allocs/op
BenchmarkBuffer/star/n=16-32  	    3151	    368556 ns/op	  178235 B/op	    1060 allocs/op
BenchmarkBuffer/star/n=16-32  	    3232	    364198 ns/op	  178235 B/op	    1060 allocs/op
BenchmarkBuffer/star/n=16-32  	    3346	    365886 ns/op	  178235 B/op	    1060 allocs/op
BenchmarkBuffer/star/n=16-32  	    3235	    366008 ns/op	  178235 B/op	    1060 allocs/op
BenchmarkBuffer/star/n=16-32  	    3279	    366224 ns/op	  178235 B/op	    1060 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     618	   1943057 ns/op	 1073963 B/op	    4736 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     633	   1932390 ns/op	 1073961 B/op	    4736 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     622	   1944149 ns/op	 1073961 B/op	    4736 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     610	   1900469 ns/op	 1073963 B/op	    4736 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     638	   1903883 ns/op	 1073962 B/op	    4736 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     622	   1926792 ns/op	 1073962 B/op	    4736 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     622	   1936766 ns/op	 1073961 B/op	    4736 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     610	   1957908 ns/op	 1073962 B/op	    4736 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     602	   1990837 ns/op	 1073965 B/op	    4736 allocs/op
BenchmarkBuffer/ngon/n=256-32 	     608	   1969536 ns/op	 1073961 B/op	    4736 allocs/op
BenchmarkBuffer/star/n=256-32 	      72	  16015452 ns/op	 8244748 B/op	   51088 allocs/op
BenchmarkBuffer/star/n=256-32 	      66	  15920157 ns/op	 8249629 B/op	   51088 allocs/op
BenchmarkBuffer/star/n=256-32 	      74	  16077925 ns/op	 8237953 B/op	   51087 allocs/op
BenchmarkBuffer/star/n=256-32 	      67	  16033698 ns/op	 8241838 B/op	   51087 allocs/op
BenchmarkBuffer/star/n=256-32 	      79	  16030830 ns/op	 8242022 B/op	   51088 allocs/op
BenchmarkBuffer/star/n=256-32 	      66	  16053441 ns/op	 8242991 B/op	   51087 allocs/op
BenchmarkBuffer/star/n=256-32 	      78	  16125131 ns/op	 8253699 B/op	   51088 allocs/op
BenchmarkBuffer/star/n=256-32 	      67	  16042371 ns/op	 8253524 B/op	   51089 allocs/op
BenchmarkBuffer/star/n=256-32 	      70	  15927706 ns/op	 8247484 B/op	   51088 allocs/op
BenchmarkBuffer/star/n=256-32 	      66	  15604518 ns/op	 8243299 B/op	   51087 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     157	   7656343 ns/op	 4418042 B/op	   18394 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     157	   7792131 ns/op	 4418047 B/op	   18394 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     154	   7724217 ns/op	 4418028 B/op	   18394 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     152	   8081968 ns/op	 4418049 B/op	   18394 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     146	   8057544 ns/op	 4418049 B/op	   18394 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     144	   8231148 ns/op	 4418042 B/op	   18394 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     150	   8123714 ns/op	 4418040 B/op	   18394 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     148	   8050263 ns/op	 4418042 B/op	   18394 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     150	   8050746 ns/op	 4418046 B/op	   18394 allocs/op
BenchmarkBuffer/ngon/n=1024-32         	     150	   8072391 ns/op	 4418057 B/op	   18394 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 156268028 ns/op	64756308 B/op	  492237 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 155317912 ns/op	64778230 B/op	  492229 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 156413217 ns/op	64795558 B/op	  492232 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 155048672 ns/op	64742477 B/op	  492227 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 161286611 ns/op	64757780 B/op	  492228 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 159979200 ns/op	64749108 B/op	  492228 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 161438990 ns/op	64730322 B/op	  492225 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 160649034 ns/op	64762818 B/op	  492228 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 159174225 ns/op	64742059 B/op	  492226 allocs/op
BenchmarkBuffer/star/n=1024-32         	       7	 159050659 ns/op	64752272 B/op	  492227 allocs/op
BenchmarkBufferNegative-32             	      10	 105201260 ns/op	43619819 B/op	  317995 allocs/op
BenchmarkBufferNegative-32             	      10	 105400310 ns/op	43603569 B/op	  317993 allocs/op
BenchmarkBufferNegative-32             	      10	 106916029 ns/op	43620651 B/op	  317995 allocs/op
BenchmarkBufferNegative-32             	      10	 105721869 ns/op	43617944 B/op	  317995 allocs/op
BenchmarkBufferNegative-32             	      10	 104276258 ns/op	43649734 B/op	  317997 allocs/op
BenchmarkBufferNegative-32             	      10	 103991160 ns/op	43644929 B/op	  317997 allocs/op
BenchmarkBufferNegative-32             	      10	 104922087 ns/op	43671856 B/op	  317999 allocs/op
BenchmarkBufferNegative-32             	      10	 103880013 ns/op	43636928 B/op	  317997 allocs/op
BenchmarkBufferNegative-32             	      10	 103238836 ns/op	43634564 B/op	  317996 allocs/op
BenchmarkBufferNegative-32             	      10	 103107398 ns/op	43628737 B/op	  317996 allocs/op
BenchmarkOffsetCurve-32                	    2790	    439164 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2847	    438833 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2613	    450505 ns/op	  900467 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2802	    438566 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2782	    432938 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2641	    449138 ns/op	  900467 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2689	    442870 ns/op	  900467 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2923	    443445 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2599	    448809 ns/op	  900467 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2683	    445669 ns/op	  900467 B/op	      26 allocs/op
PASS
ok  	github.com/exergy-dev/go-topology-suite/buffer	107.166s
goos: linux
goarch: amd64
pkg: github.com/exergy-dev/go-topology-suite/overlay
cpu: Intel(R) Core(TM) i9-14900KF
BenchmarkOverlayLargePolygons-32            	     537	   2205875 ns/op	 2014682 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     535	   2216831 ns/op	 2014682 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     542	   2233397 ns/op	 2014686 B/op	   11288 allocs/op
